0. Startup range Range value: 115, Days after 01.01.2015: 3479, Minutes: 1076
6. Range value: 115, Days after 01.01.2015: 3479, Minutes: 1077
12. Range value: 115, Days after 01.01.2015: 3479, Minutes: 1077
18. ExpT: 0, ExpHumid: 0, Temp: 29, Humid: 45.6
24. ExpT: 0, ExpHumid: 0, Temp: 29, Humid: 45.6
30. ExpT: 0, ExpHumid: 0, Temp: 29.1, Humid: 45.6
36. Range value: 115, Days after 01.01.2015: 3479, Minutes: 1080
42. ExpT: 0, ExpHumid: 0, Temp: 29.1, Humid: 45.6
48. Startup range Range value: 115, Days after 01.01.2015: 3479, Minutes: 1101
54. Startup range Range value: 115, Days after 01.01.2015: 3479, Minutes: 1101
60. ExpT: 0, ExpHumid: 0, Temp: 29.1, Humid: 46.6
66. ExpT: 0, ExpHumid: 0, Temp: 29.2, Humid: 45.7
72. ExpT: 0, ExpHumid: 0, Temp: 29.3, Humid: 45.6
78. ExpT: 0, ExpHumid: 0, Temp: 29.2, Humid: 45.7
84. ExpT: 0, ExpHumid: 0, Temp: 29.2, Humid: 46
90. ExpT: 0, ExpHumid: 0, Temp: 29.2, Humid: 46.2
96. ExpT: 0, ExpHumid: 0, Temp: 29.3, Humid: 45.7
102. ExpT: 0, ExpHumid: 0, Temp: 29.2, Humid: 45.6
108. ExpT: 0, ExpHumid: 0, Temp: 29.2, Humid: 45.3
114. ExpT: 0, ExpHumid: 0, Temp: 29.2, Humid: 45.5
120. ExpT: 0, ExpHumid: 0, Temp: 29.2, Humid: 45.6
126. ExpT: 0, ExpHumid: 0, Temp: 29.2, Humid: 45.5
132. ExpT: 0, ExpHumid: 0, Temp: 29.1, Humid: 45.3
138. ExpT: 0, ExpHumid: 0, Temp: 29.1, Humid: 45.5
144. ExpT: 0, ExpHumid: 0, Temp: 29.1, Humid: 45.2
150. ExpT: 0, ExpHumid: 0, Temp: 29, Humid: 45.5
156. ExpT: 0, ExpHumid: 0, Temp: 29, Humid: 45.6
162. ExpT: 0, ExpHumid: 0, Temp: 29, Humid: 45.7
168. ExpT: 0, ExpHumid: 0, Temp: 29, Humid: 45.8
174. Startup range Range value: 65504, Days after 01.01.2015: 145, Minutes: 457
180. ExpT: 0, ExpHumid: 0, Temp: 29, Humid: 45.8
186. ExpT: 0, ExpHumid: 0, Temp: 29, Humid: 45.3
